id,loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,issue_d,loan_status,purpose,member_id,loan_id,emp_length,home_ownership,annual_inc,verification_status,dti,delinq_2yrs,last_pymnt_d,total_pymnt,out_prncp
1069591,5000,5000, 36 months,8.9,158.77,A,A5,18-Dec,Fully Paid,debt_consolidation,1304289,1069591,2 years,RENT,24044,Verified,11.93,0,15-Jan,5714.592129,0
1069530,7000,7000, 36 months,15.96,245.97,C,C5,18-Dec,Fully Paid,credit_card,1291365,1069530,7 years,RENT,34000,Source Verified,6.35,0,15-Jan,8848.94043,0
1069522,12400,12400, 36 months,10.65,403.91,B,B2,18-Dec,Fully Paid,credit_card,1304589,1069522,10+ years,RENT,41000,Not Verified,11.8,0,15-Jan,14537.45953,0
1069361,10800,10800, 36 months,9.91,348.03,B,B1,18-Dec,Fully Paid,moving,1304255,1069361,2 years,RENT,55596,Source Verified,5.5,0,20-Nov,12157.2,0
1069357,15000,15000, 36 months,7.9,469.36,A,A4,18-Dec,Fully Paid,debt_consolidation,1304251,1069357,1 year,RENT,45000,Verified,8.48,0,21-Jan,16662.6,0
1069356,6000,6000, 36 months,12.42,200.5,B,B4,18-Dec,Fully Paid,debt_consolidation,1304250,1069356,1 year,RENT,36852,Source Verified,10.62,0,21-Apr,7125.283165,0
1069346,12500,12475, 60 months,12.69,282.44,B,B5,18-Dec,Current,debt_consolidation,1304237,1069346,1 year,RENT,27000,Verified,16.04,0,16-Jan,13506.54,3193.13
1067573,9600,9600, 36 months,7.51,298.67,A,A3,18-Dec,Fully Paid,other,1301955,1067573,4 years,RENT,68004,Source Verified,6.63,0,15-Jan,10749.76265,0
1069506,12000,12000, 36 months,7.9,375.49,A,A4,18-Dec,Fully Paid,debt_consolidation,1304567,1069506,10+ years,RENT,62300,Not Verified,16.7,0,15-Jan,13516.38296,0
1069314,3000,3000, 36 months,18.25,108.84,D,D5,18-Dec,Fully Paid,other,1304202,1069314,9 years,MORTGAGE,65000,Not Verified,17.39,0,15-Jan,3915.027595,0
1060578,4400,4400, 36 months,16.77,156.37,D,D2,18-Dec,Fully Paid,debt_consolidation,1292332,1060578,10+ years,RENT,55000,Not Verified,20.01,0,15-Jan,5626.892655,0
1069469,6000,6000, 36 months,6.03,182.62,A,A1,18-Dec,Fully Paid,debt_consolidation,1304526,1069469,10+ years,MORTGAGE,45600,Not Verified,5.34,0,19-Jul,6065.86,0
1051117,14000,14000, 36 months,9.91,451.15,B,B1,18-Dec,Fully Paid,small_business,1282787,1051117,6 years,RENT,80000,Not Verified,10,0,15-Jan,16239.91413,0
1069465,5000,5000, 36 months,8.9,158.77,A,A5,18-Dec,Charged Off,debt_consolidation,1304521,1069465,10+ years,MORTGAGE,100000,Source Verified,16.33,0,21-Aug,5021.37,0
1069283,10000,10000, 36 months,10.65,325.74,B,B2,18-Dec,Fully Paid,other,1304166,1069283,6 years,RENT,27000,Verified,11.47,0,15-Jan,11724.56774,0
1069287,10000,10000, 36 months,6.03,304.36,A,A1,18-Dec,Fully Paid,credit_card,1304171,1069287,10+ years,RENT,60000,Not Verified,12.74,0,19-Jul,10282.67,0
1069453,11000,11000, 36 months,6.62,337.75,A,A2,18-Dec,Fully Paid,debt_consolidation,1303701,1069453,5 years,RENT,70000,Not Verified,10.85,0,15-Jan,12157.38005,0
1069248,15000,15000, 36 months,9.91,483.38,B,B1,18-Dec,Charged Off,debt_consolidation,1304123,1069248,8 years,MORTGAGE,80000,Not Verified,9.12,0,21-Oct,16177.77,0
1068120,25600,25350, 36 months,9.91,824.96,B,B1,18-Dec,Fully Paid,credit_card,1302485,1068120,9 years,RENT,110000,Verified,15.71,0,15-Jan,29695.62268,0
1069244,7000,7000, 36 months,10.65,228.02,B,B2,18-Dec,Fully Paid,debt_consolidation,1304117,1069244,< 1 year,RENT,40000,Not Verified,7.38,0,15-Jan,8205.473816,0
1069243,12000,12000, 36 months,15.96,421.65,C,C5,18-Dec,Charged Off,car,1304116,1069243,4 years,RENT,50000,Not Verified,20.88,0,19-Aug,3521.95,0
1069238,12000,12000, 36 months,9.91,386.7,B,B1,18-Dec,Fully Paid,credit_card,1303909,1069238,1 year,RENT,46000,Not Verified,8.11,0,21-Jul,13748.21311,0
1069410,21000,20975, 60 months,19.91,555.33,E,E4,18-Dec,Charged Off,debt_consolidation,1303652,1069410,7 years,RENT,50000,Verified,21.58,0,21-Oct,18319.14,0
1068409,16000,15950, 60 months,19.91,423.11,E,E4,18-Dec,Fully Paid,credit_card,1302790,1068409,7 years,RENT,81000,Verified,20.52,0,20-Oct,20876.1,0
1068487,10000,10000, 36 months,12.42,334.16,B,B4,18-Dec,Fully Paid,debt_consolidation,1302882,1068487,< 1 year,OWN,39000,Not Verified,18.58,0,20-Jul,11474.76,0
1043961,10000,10000, 36 months,10.65,325.74,B,B2,18-Dec,Fully Paid,credit_card,1274517,1043961,2 years,RENT,51400,Not Verified,19.14,0,19-Aug,10575.94,0
1068945,7100,7100, 36 months,16.77,252.33,D,D2,18-Dec,Fully Paid,debt_consolidation,1287308,1068945,1 year,MORTGAGE,33000,Verified,24,0,15-Jan,9079.334843,0
1069142,13000,13000, 60 months,12.69,293.74,B,B5,18-Dec,Fully Paid,debt_consolidation,1287810,1069142,< 1 year,MORTGAGE,30000,Source Verified,13.72,0,16-Jan,17402.23999,0
1068934,17500,8925, 60 months,17.27,223.74,D,D3,18-Dec,Current,small_business,1277395,1068934,6 years,RENT,40000,Verified,19.47,0,16-Jan,10713.52,2462.25
1069136,17675,17675, 60 months,14.65,417.25,C,C3,18-Dec,Fully Paid,debt_consolidation,1278095,1069136,< 1 year,RENT,50000,Source Verified,16.46,0,20-Aug,21323.43,0
1068923,8000,8000, 36 months,16.77,284.31,D,D2,18-Dec,Fully Paid,debt_consolidation,1303549,1068923,< 1 year,RENT,62000,Not Verified,21.64,0,21-Dec,10267.26214,0
1069126,10000,9975, 60 months,10.65,215.69,B,B2,18-Dec,Charged Off,debt_consolidation,1303778,1069126,10+ years,RENT,45996,Verified,21.73,0,15-Apr,8772.91,0
1069102,3500,3500, 36 months,10.65,114.01,B,B2,18-Dec,Fully Paid,debt_consolidation,1303750,1069102,7 years,MORTGAGE,55000,Not Verified,5.39,0,15-Jan,4103.168128,0
1069093,12500,8925, 60 months,17.27,223.11,D,D3,18-Dec,Charged Off,debt_consolidation,1303740,1069093,5 years,RENT,30000,Source Verified,13.16,0,21-Feb,5577.75,0
1069030,16425,16425, 36 months,14.27,563.53,C,C2,18-Dec,Fully Paid,debt_consolidation,1303473,1069030,4 years,RENT,44544,Source Verified,22.71,0,19-Nov,18172.71,0
1068906,8200,8200, 60 months,21.28,223.14,F,F2,18-Dec,Charged Off,small_business,1303528,1068906,4 years,RENT,75000,Source Verified,12.48,0,20-Jun,4173.57,0
1069073,15000,15000, 36 months,14.65,517.42,C,C3,18-Dec,Fully Paid,credit_card,1303718,1069073,2 years,OWN,61000,Verified,11.88,0,21-Sep,18562.40042,0
1069043,20975,13550, 60 months,17.58,341.63,D,D4,18-Dec,Fully Paid,credit_card,1303486,1069043,5 years,MORTGAGE,44000,Verified,18.79,0,21-Apr,18097.34458,0
1060981,6400,6400, 36 months,16.77,227.45,D,D2,18-Dec,Charged Off,debt_consolidation,1292558,1060981,5 years,RENT,75000,Not Verified,20.22,0,20-Oct,4776.45,0
1069071,3000,3000, 36 months,13.49,101.8,C,C1,18-Dec,Fully Paid,debt_consolidation,1303716,1069071,1 year,RENT,33600,Not Verified,18.11,0,19-Sep,3246.8,0
1069070,12000,12000, 36 months,16.77,426.47,D,D2,18-Dec,Fully Paid,credit_card,1299004,1069070,3 years,RENT,50000,Not Verified,20.57,0,15-Jan,15346.46687,0
1068893,14400,14400, 36 months,8.9,457.25,A,A5,18-Dec,Fully Paid,debt_consolidation,1303514,1068893,< 1 year,OWN,150000,Source Verified,14.85,0,15-Jan,16459.51914,0
1068882,12000,12000, 36 months,14.65,413.94,C,C3,18-Dec,Fully Paid,debt_consolidation,1303303,1068882,10+ years,RENT,90000,Not Verified,16.56,0,19-Jun,12699.48,0
1069039,11000,11000, 36 months,13.49,373.24,C,C1,18-Dec,Fully Paid,debt_consolidation,1303482,1069039,10+ years,MORTGAGE,48000,Verified,21.82,0,21-Oct,13413.21605,0
1068416,7250,7175, 60 months,21.67,197.51,F,F3,18-Dec,Fully Paid,debt_consolidation,1302799,1068416,< 1 year,RENT,75000,Verified,24.82,0,19-Sep,8201.53,0
1068997,15000,15000, 36 months,7.9,469.36,A,A4,18-Dec,Fully Paid,small_business,1303437,1068997,1 year,MORTGAGE,52000,Not Verified,9.65,0,19-Aug,15557.64,0
1048390,18000,18000, 60 months,19.91,475.99,E,E4,18-Dec,Fully Paid,debt_consolidation,1279714,1048390,10+ years,MORTGAGE,65000,Not Verified,6.81,0,21-Oct,26027.53964,0
1068994,35000,22050, 60 months,17.27,551.84,D,D3,18-Dec,Fully Paid,home_improvement,1303432,1068994,3 years,MORTGAGE,150000,Verified,7.51,0,21-Feb,28871.92,0
1068475,10000,10000, 36 months,14.27,343.09,C,C2,18-Dec,Fully Paid,credit_card,1302869,1068475,2 years,RENT,68000,Source Verified,15.39,0,19-Jul,10671.62,0
1068989,11800,11800, 36 months,12.69,395.83,B,B5,18-Dec,Fully Paid,credit_card,1282020,1068989,6 years,RENT,42000,Source Verified,9.86,0,15-Jan,14243.15837,0
1068967,4500,4500, 36 months,6.03,136.96,A,A1,18-Dec,Fully Paid,major_purchase,1303403,1068967,4 years,RENT,53000,Source Verified,4.44,0,15-Jan,4930.30217,0
1068744,7000,7000, 36 months,12.69,234.82,B,B5,18-Dec,Fully Paid,credit_card,1303379,1068744,10+ years,RENT,35000,Source Verified,11.35,0,15-Jan,8449.394742,0
1045509,9200,9200, 36 months,12.42,307.43,B,B4,18-Dec,Fully Paid,debt_consolidation,1276120,1045509,2 years,RENT,60000,Source Verified,19.96,0,20-Jul,10480.84,0
1063958,14000,13975, 60 months,17.27,349.98,D,D3,18-Dec,Current,other,1297940,1063958,4 years,RENT,28000,Verified,6.34,0,16-Jan,16777.04,3842.41
1041756,4500,4475, 60 months,10.65,97.06,B,B2,18-Dec,Fully Paid,car,1272024,1041756,< 1 year,MORTGAGE,42000,Source Verified,5.4,0,19-Dec,4907.8,0
1068694,12000,12000, 36 months,16.29,423.61,D,D1,18-Dec,Fully Paid,debt_consolidation,1303326,1068694,9 years,RENT,88365,Verified,16.85,0,20-Nov,14685.36,0
1068792,12000,12000, 36 months,13.49,407.17,C,C1,18-Dec,Fully Paid,debt_consolidation,1303200,1068792,4 years,RENT,72000,Source Verified,21.33,0,21-Apr,13985.67622,0
1068558,12000,12000, 36 months,10.65,390.88,B,B2,18-Dec,Fully Paid,credit_card,1303163,1068558,< 1 year,RENT,62000,Verified,23.94,0,19-Sep,12779.62,0
1068322,7000,7000, 36 months,10.65,228.02,B,B2,18-Dec,Fully Paid,credit_card,1302938,1068322,3 years,MORTGAGE,43680,Not Verified,5.38,0,20-Feb,7687.73,0
1065674,8200,8200, 60 months,19.42,214.62,E,E3,18-Dec,Fully Paid,debt_consolidation,1299785,1065674,3 years,RENT,120000,Source Verified,2.8,0,21-Dec,11894.8952,0
1068547,10500,10500, 36 months,12.69,352.23,B,B5,18-Dec,Fully Paid,medical,1303150,1068547,10+ years,RENT,66000,Verified,20.73,1,19-Oct,11232.14,0
1068545,7000,7000, 36 months,11.71,231.54,B,B3,18-Dec,Fully Paid,debt_consolidation,1303147,1068545,4 years,OWN,39120,Not Verified,21.01,0,20-Jun,7932.3,0
1068575,15300,15275, 60 months,22.06,423.1,F,F4,18-Dec,Current,credit_card,1303001,1068575,6 years,RENT,85000,Verified,20.58,0,16-Jan,20295.8,4523.91
1049528,20000,12775, 60 months,11.71,282.86,B,B3,18-Dec,Fully Paid,debt_consolidation,1280928,1049528,4 years,MORTGAGE,47800,Verified,10.04,0,20-Nov,15161.27,0
1068542,17500,17500, 60 months,17.27,437.47,D,D3,18-Dec,Charged Off,credit_card,1303143,1068542,7 years,MORTGAGE,45000,Not Verified,21.31,0,20-Apr,10037.1,0
1068350,3500,3500, 36 months,6.03,106.53,A,A1,18-Dec,Fully Paid,car,1302971,1068350,10+ years,MORTGAGE,83000,Verified,2.31,0,15-Jan,3834.66085,0
1067874,6000,6000, 60 months,12.69,135.57,B,B5,18-Dec,Current,major_purchase,1302235,1067874,< 1 year,RENT,81000,Source Verified,13.66,1,16-Jan,6495.11,1527.6
1068509,6200,6200, 36 months,9.91,199.8,B,B1,18-Dec,Charged Off,debt_consolidation,1302907,1068509,2 years,RENT,25000,Not Verified,20.64,0,19-Dec,2452.22,0
1034693,16000,16000, 60 months,17.58,402.65,D,D4,18-Dec,Current,debt_consolidation,1264291,1034693,7 years,RENT,65000,Not Verified,15.56,0,16-Jan,19297.95,4415.97
1068508,6000,6000, 36 months,8.9,190.52,A,A5,18-Dec,Fully Paid,debt_consolidation,1302906,1068508,8 years,OWN,28800,Not Verified,13.17,0,15-Jan,6857.167486,0
1066641,7200,7200, 36 months,9.91,232.02,B,B1,18-Dec,Fully Paid,credit_card,1300833,1066641,6 years,RENT,135000,Not Verified,6.12,0,15-Jan,8350.844344,0
1068315,9500,9500, 36 months,8.9,301.66,A,A5,18-Dec,Fully Paid,credit_card,1302930,1068315,7 years,MORTGAGE,50000,Not Verified,8.18,0,20-Jul,10493.71,0
1068309,18825,18800, 60 months,16.77,465.53,D,D2,18-Dec,Charged Off,debt_consolidation,1302924,1068309,10+ years,RENT,38000,Verified,23.18,0,21-Sep,18218.25,0
1068326,24000,24000, 36 months,10.65,781.76,B,B2,18-Dec,Fully Paid,debt_consolidation,1302942,1068326,10+ years,RENT,45000,Verified,14.8,0,15-Jan,28140.92936,0
1066767,6000,6000, 36 months,13.49,203.59,C,C1,18-Dec,Fully Paid,debt_consolidation,1300950,1066767,10+ years,RENT,80000,Not Verified,11.58,0,15-Jan,7326.009787,0
1068484,6000,6000, 36 months,13.49,203.59,C,C1,18-Dec,Fully Paid,debt_consolidation,1302879,1068484,5 years,RENT,50000,Not Verified,15.38,0,15-Jan,7325.544153,0
1068292,2100,2100, 36 months,12.42,70.18,B,B4,18-Dec,Fully Paid,vacation,1302706,1068292,10+ years,MORTGAGE,30000,Not Verified,19.72,0,21-Dec,2552.485243,0
1068273,5500,5500, 36 months,6.62,168.88,A,A2,18-Dec,Fully Paid,small_business,1302680,1068273,8 years,MORTGAGE,110000,Verified,9.69,0,15-Jan,6077.875619,0
1068274,11000,11000, 36 months,6.62,337.75,A,A2,18-Dec,Fully Paid,debt_consolidation,1302681,1068274,8 years,OWN,45608,Source Verified,20.5,0,15-Jan,12156.85732,0
1068440,26800,26800, 60 months,20.89,723.38,F,F1,18-Dec,Fully Paid,debt_consolidation,1302831,1068440,3 years,MORTGAGE,120000,Verified,12.15,0,20-Mar,32887.69,0
1046456,8000,8000, 36 months,12.69,268.36,B,B5,18-Dec,Fully Paid,debt_consolidation,1277297,1046456,5 years,MORTGAGE,35000,Not Verified,10.05,0,20-Mar,8999.1,0
1068012,10000,10000, 36 months,18.25,362.78,D,D5,18-Dec,Charged Off,credit_card,1302365,1068012,1 year,RENT,75000,Source Verified,24.14,0,15-Jan,11730.6,0
1055725,8000,8000, 36 months,11.71,264.61,B,B3,18-Dec,Fully Paid,credit_card,1287293,1055725,9 years,MORTGAGE,35000,Verified,9.7,0,21-May,9434.776936,0
1061814,10000,10000, 36 months,8.9,317.54,A,A5,18-Dec,Fully Paid,debt_consolidation,1293438,1061814,6 years,RENT,24000,Verified,7,0,20-Mar,10868.92,0
1068232,12000,12000, 36 months,11.71,396.92,B,B3,18-Dec,Fully Paid,debt_consolidation,1302622,1068232,2 years,MORTGAGE,126000,Not Verified,13.32,0,21-May,14182.29986,0
1068405,10000,10000, 36 months,7.9,312.91,A,A4,18-Dec,Fully Paid,debt_consolidation,1302785,1068405,1 year,RENT,43000,Not Verified,25.26,0,15-Jan,11264.00958,0
1068395,12000,12000, 36 months,9.91,386.7,B,B1,18-Dec,Fully Paid,debt_consolidation,1302773,1068395,1 year,RENT,50000,Not Verified,16.44,0,15-Jan,13920.02507,0
1068202,25000,23088.16106, 60 months,13.49,575.12,C,C1,18-Dec,Charged Off,credit_card,1302588,1068202,10+ years,MORTGAGE,67000,Verified,14.15,0,15-Mar,23880.65,0
1068006,19750,19725, 36 months,10.65,643.33,B,B2,18-Dec,Charged Off,debt_consolidation,1302360,1068006,4 years,RENT,45000,Verified,22.8,0,20-Sep,11930.65,0
1068075,10000,10000, 36 months,9.91,322.25,B,B1,18-Dec,Fully Paid,debt_consolidation,1302430,1068075,3 years,RENT,31200,Source Verified,14.81,0,20-Jan,10904.24,0
1065642,13650,13650, 36 months,12.42,456.12,B,B4,18-Dec,Fully Paid,debt_consolidation,1299748,1065642,4 years,RENT,66000,Verified,24.09,0,20-Dec,16011.18,0
1068179,28000,11775, 60 months,19.91,312.04,E,E4,18-Dec,Charged Off,debt_consolidation,1302564,1068179,10+ years,RENT,52000,Verified,20.7,0,21-Jun,12173.07,0
1068158,18000,18000, 36 months,7.9,563.23,A,A4,18-Dec,Fully Paid,debt_consolidation,1302728,1068158,10+ years,RENT,56964,Source Verified,27.55,0,15-Jan,20275.33655,0
1068180,2500,2500, 36 months,14.27,85.78,C,C2,18-Dec,Fully Paid,debt_consolidation,1302565,1068180,7 years,RENT,49500,Source Verified,10.33,0,19-Feb,2529.9,0
1065673,21000,20190.80657, 60 months,20.3,559.89,E,E5,18-Dec,Fully Paid,credit_card,1299784,1065673,10+ years,RENT,70000,Verified,23.21,0,20-Aug,27085.42,0
1068159,35000,35000, 36 months,8.9,1111.37,A,A5,18-Dec,Fully Paid,debt_consolidation,1302729,1068159,6 years,MORTGAGE,125000,Verified,22.71,0,15-Jan,40006.54992,0
1068165,10000,10000, 36 months,7.51,311.11,A,A3,18-Dec,Fully Paid,credit_card,1302549,1068165,3 years,RENT,33000,Not Verified,9.75,0,20-Dec,11027.3,0
1059689,7000,7000, 36 months,12.69,234.82,B,B5,18-Dec,Fully Paid,credit_card,1291305,1059689,< 1 year,RENT,30000,Source Verified,15.8,0,15-Jan,8452.256793,0
1066215,24000,24000, 36 months,15.96,843.3,C,C5,18-Dec,Charged Off,home_improvement,1300572,1066215,8 years,MORTGAGE,90000,Source Verified,9.17,0,19-Aug,5895.68,0
1063270,10625,10625, 36 months,7.51,330.56,A,A3,18-Dec,Fully Paid,medical,1295780,1063270,5 years,MORTGAGE,23000,Not Verified,18.89,0,21-Jun,11841.94071,0
1067931,5000,5000, 36 months,14.65,172.48,C,C3,18-Dec,Fully Paid,debt_consolidation,1302311,1067931,2 years,RENT,24000,Source Verified,18.3,0,20-Jan,5682.08,0
1067922,8850,8850, 36 months,6.62,271.73,A,A2,18-Dec,Fully Paid,credit_card,1302299,1067922,10+ years,RENT,62000,Source Verified,17.71,0,15-Jan,9781.605755,0
1067919,6375,6375, 36 months,7.51,198.34,A,A3,18-Dec,Fully Paid,debt_consolidation,1302295,1067919,4 years,RENT,44000,Source Verified,4.8,0,19-Dec,6737.55,0
1068106,6000,6000, 36 months,11.71,198.46,B,B3,18-Dec,Fully Paid,credit_card,1302467,1068106,1 year,RENT,90000,Not Verified,2.97,1,21-Mar,7041.293751,0
1068111,11100,11100, 36 months,6.62,340.82,A,A2,18-Dec,Charged Off,credit_card,1302472,1068111,10+ years,RENT,41000,Verified,29.85,0,20-Nov,8120.14,0
1067655,10000,10000, 60 months,12.69,225.95,B,B5,18-Dec,Fully Paid,debt_consolidation,1302044,1067655,2 years,MORTGAGE,56000,Source Verified,10.82,0,21-Oct,12727.42606,0
1060662,6200,6200, 36 months,6.03,188.71,A,A1,18-Dec,Fully Paid,small_business,1292431,1060662,5 years,MORTGAGE,26500,Not Verified,18.2,0,15-Jan,6793.070094,0
1061304,15000,15000, 36 months,18.64,547.12,E,E1,18-Dec,Fully Paid,debt_consolidation,1293317,1061304,1 year,RENT,54000,Not Verified,19.69,0,21-May,19401.71938,0
1068095,4200,4200, 36 months,11.71,138.92,B,B3,18-Dec,Fully Paid,other,1302453,1068095,2 years,RENT,53000,Not Verified,16.91,0,15-Jan,5000.46251,0
1067182,14000,14000, 36 months,14.27,480.33,C,C2,18-Dec,Fully Paid,debt_consolidation,1301537,1067182,4 years,RENT,52800,Not Verified,7.36,0,19-Apr,14487.95,0
822464,8875,8875, 36 months,7.51,276.11,A,A3,18-Dec,Fully Paid,debt_consolidation,1030901,822464,1 year,MORTGAGE,38000,Not Verified,23.53,0,20-Sep,9712.65,0
1063526,13500,13500, 36 months,9.91,435.04,B,B1,18-Dec,Fully Paid,debt_consolidation,1296092,1063526,7 years,RENT,38000,Verified,12.38,0,15-Jan,15657.93938,0
1068091,12000,12000, 36 months,9.91,386.7,B,B1,18-Dec,Charged Off,debt_consolidation,1302450,1068091,2 years,RENT,42000,Not Verified,7.83,0,21-May,11234.49,0
1068090,16000,15975, 60 months,19.91,423.11,E,E4,18-Dec,Fully Paid,debt_consolidation,1302449,1068090,4 years,RENT,55000,Verified,15.8,0,21-May,22277.26289,0
1068082,21600,20498.26578, 60 months,19.42,565.32,E,E3,18-Dec,Fully Paid,debt_consolidation,1270159,1068082,8 years,MORTGAGE,60000,Source Verified,16.74,1,20-Aug,27580.75,0
1068078,6000,6000, 36 months,10.65,195.44,B,B2,18-Dec,Fully Paid,home_improvement,1302434,1068078,6 years,MORTGAGE,87000,Not Verified,12.86,2,21-Jul,6999.427407,0
